complaint,station,category,priorityLevel
"Classroom: MONDAY TESTS HINDER OUR SELF STUDY, THUS WE DON'T HAVE REAL WORLD SKILLS, THAT'S WHY YOUR PLACEMENT RECORD SUCKS!! THIS ISN'T SCHOOL. Also, which engineering college aks students to come for the last few semesters? It's like you are doing everything so the students don't get placed. Shame on you.",Classroom,Academics,Low
Hostel: The queue is very long.,Hostel,Mess/Food,Low
"After rains, puddles form in campus walkways and become breeding grounds for mosquitoes. Proper drainage maintenance is needed.",Pedestrian,Cleanliness,Low
"Classroom: The College Wi-Fi login system is very buggy. Half the time the login page does not appear. If it does appear, it disconnects within 5 minutes.",Classroom,Technical Issues,Low
"Classroom: Because of the Monday test, we cannot make any plans on Sunday. Family time, rest, and self-study all suffer. This weekly test culture should be stopped.",Classroom,Academics,Low
Classroom: Monday tests again.,Classroom,Academics,Low
Library: Area is not safe or clean outside.,Library,Infrastructure,Low
"Hostel: The canteen situation is very bad. During lunch time, it feels like a train station because there is so much crowd. Stand in the queue for 20–25 minutes, then when the food is available, there is no seating. In the end, we have to eat standing and run to the next lecture. The M-block canteen also does not accept UPI, so we have to carry cash. Who carries cash in 2026? Please fix both problems—seating and the payment system.",Hostel,Mess/Food,Low
"Pedestrian Area: College events run way over time without warning. If event says 6pm end, it runs till 9pm. Students miss buses and trains because of this.",Pedestrian,Other,Low
The projector in our classroom has been broken for 2 weeks. Professor is teaching on whiteboard only which is very difficult to see from back benches.,Classroom,Technical Issues,Medium
Hostel: paneer watery hai.,Hostel,Mess/Food,Low
"I am currently in 3rd year doing computer engineering. Despite being a top performer in academics, I am failing to get an internship. I feel there is a gap between what we study in college and what industries require. I feel the college should teach us or help us become skilled in one domain, or provide a roadmap with constant mentoring. I feel this will help us gain industrial knowledge.",Pedestrian,Academics,Low
Library: The software license has expired.,Library,Technical Issues,Low
Hostel: The toilet flush does not work.,Hostel,Cleanliness,Low
Classroom: Students are not given access to the iMac lab. Such expensive hardware has dust on it. What is the point of buying it if students cannot use it?,Classroom,Technical Issues,Low
Classroom: Does not train students for internships or placements.,Classroom,Academics,Low
"Hostel: During peak hours, the canteen staff rushes through serving food. Half the time, the portion is less than usual. Consistency is needed.",Hostel,Mess/Food,Low
Main Gate: There are no dustbins in the labs.,Main Gate,Infrastructure,Low
"Hostel: niggas need to flush the toilet, taking big load of shit and just left like that , hell naww this nigggas be shitting multiple colours thats disgusting dawg , my niggas this college mannnn and it needs to clean Ã°ÂÂªÂ¥Ã°ÂÂ«Â§, i am telling when i see this whoever bitches shit like that , i ain't gonna lie but reminds me of '50 shades of grey ' but its the fucking 50 shades of shit.",Hostel,Cleanliness,Low
Food in the mess should be affordable for OHU students. 60–70 rupees per meal is too much for what they serve. The quality and price do not match.,Hostel,Mess/Food,Medium
"Pedestrian Area: The parking area is completely unorganized. No designated spots, vehicles parked randomly it creates traffic jams every morning and evening.",Pedestrian,Infrastructure,Low
"Library: Lights in the corridor of C block have not been working since last month. In the evenings, the corridor becomes dark, which is a safety concern.",Library,Infrastructure,Low
Main Gate: The smell from the washroom near the stationery area is coming into the corridor. It's very unpleasant and students avoid that area. Deep cleaning is needed.,Main Gate,Cleanliness,Low
Classroom: The Wi-Fi is not working.,Classroom,Technical Issues,Low
Classroom: Sir gives extra marks to students who are on his good side regardless of answer quality. This partiality demotivates genuinely hardworking students.,Classroom,Ragging,Medium
Broken benches and chairs in classroom 304. Some students have to sit on half-broken chairs for 6 hours. Basic comfort should be provided.,Classroom,Infrastructure,Medium
Library: The dustbins have become full.,Library,Cleanliness,Low
Classroom: seniors scare first year students.,Classroom,Ragging,Medium
"Hostel: There is no AC in the girls' common room. Facilities are available for boys, but girls do not have basic comfort. This is unfair treatment.",Hostel,Infrastructure,Low
Pedestrian Area: no mental health support in college.,Pedestrian,Other,Low
"A faculty member's behavior with students is very bad. They ask questions in class and, if a wrong answer is given, loudly mock the student in front of the whole class. Once, a student asked about a concept and the faculty member said, 'You do not even know this? What are you doing here?' This is deeply demoralizing. Students' confidence has been completely shattered. Attending class with such a professor feels like mental torture. Please talk to this faculty member and make them understand professional conduct.",Classroom,Ragging,Medium
Library: Light bulbs in some classrooms are of very low wattage it's dim and strains the eyes during reading. Upgrade to proper bright lighting.,Library,Infrastructure,Low
Main Gate: College notices are never communicated properly. Important deadlines come and go without most students knowing. Use email or a proper notice board system.,Main Gate,Other,Low
